# timestamp,visitors_count,temperature_c,precipitation_mm,is_holiday,marketing_push
2024-05-01 06:00:00,45,22.1,0.0,0,1
2024-05-01 07:00:00,52,22.8,0.0,0,1
2024-05-01 08:00:00,60,23.3,0.0,0,0
2024-05-01 09:00:00,58,24.0,0.0,0,0
2024-05-01 10:00:00,55,25.1,0.0,0,0
2024-05-01 11:00:00,50,26.0,0.0,0,0
2024-05-02 06:00:00,35,21.5,0.0,0,0
2024-05-02 07:00:00,42,22.0,0.0,0,0
2024-05-02 08:00:00,48,22.6,0.0,0,0
2024-05-02 09:00:00,47,23.0,0.0,0,0
2024-05-02 10:00:00,43,24.2,0.0,0,0
2024-05-02 11:00:00,40,25.0,0.0,0,0
2024-05-03 06:00:00,65,21.0,0.0,0,1
2024-05-03 07:00:00,72,21.4,0.0,0,1
2024-05-03 08:00:00,85,22.2,0.0,0,1
2024-05-03 09:00:00,88,22.9,0.0,0,1
2024-05-03 10:00:00,80,23.5,0.0,0,0
2024-05-03 11:00:00,75,24.1,0.0,0,0
2024-05-04 06:00:00,25,20.0,0.3,0,0
2024-05-04 07:00:00,30,20.2,0.3,0,0
2024-05-04 08:00:00,35,20.5,0.5,0,0
2024-05-04 09:00:00,33,21.0,0.8,0,0
2024-05-04 10:00:00,28,21.5,1.0,0,0
2024-05-04 11:00:00,25,22.0,1.2,0,0
2024-05-05 06:00:00,40,21.0,0.0,1,0
2024-05-05 07:00:00,50,21.4,0.0,1,0
2024-05-05 08:00:00,55,22.1,0.0,1,0
2024-05-05 09:00:00,58,22.5,0.0,1,0
2024-05-05 10:00:00,52,23.0,0.0,1,0
2024-05-05 11:00:00,48,23.5,0.0,1,0
2024-05-06 06:00:00,38,22.5,0.0,0,0
2024-05-06 07:00:00,45,22.9,0.0,0,0
2024-05-06 08:00:00,50,23.3,0.0,0,0
2024-05-06 09:00:00,52,24.0,0.0,0,0
2024-05-06 10:00:00,49,24.6,0.0,0,0
2024-05-06 11:00:00,45,25.2,0.0,0,0
2024-05-07 06:00:00,60,22.8,0.0,0,1
2024-05-07 07:00:00,68,23.3,0.0,0,1
2024-05-07 08:00:00,74,23.8,0.0,0,1
2024-05-07 09:00:00,70,24.2,0.0,0,1
2024-05-07 10:00:00,66,24.8,0.0,0,0
2024-05-07 11:00:00,62,25.4,0.0,0,0
